file,fbid,email,all_emails_in_image,raw_text
1476370884519280.jpg,1476370884519280,trajectoires.belleville@gmail.com,trajectoires.belleville@gmail.com,"+ ++ aa — 1 + TRAJECTOIRES = Ouvrier viticole (H/F) /  Envie d'un travail au coeur du  terroir ? Planning flexible {selon vos dispos}  travaux dans les vignes  Un vrai À accompagnement professionnel  Votre mission chez nous :  Participation aux différents travaux de la vigne selon la saison (relevage, ébourgeonnage, vendanges ou entretien des parcelles) pour nos domaines partenaires. Une expérience enrichissante au grand air !  ON COMMENCE QUAND ? sc  ON ATTEND VOTRE APPEL @ trajectoires.bellevi"
1699420268850196.jpg,1699420268850196,,,
1699420235516866.jpg,1699420235516866,,,oe con  Foe
1699420205516869.jpg,1699420205516869,,,
122255839184306724.jpg,122255839184306724,taxiassistanceservice@gmail.com,taxiassistanceservice@gmail.com,"RECRUTE Conducteur (trice) Taxi  - CHAULGNES - TANNAY  e CDI 35H temps complet e Salaire selon convention collective des conducteurs de Taxi IDCC 2219 +  Majoration suivant compétences et expériences  Avantages :  ° Temps de coupures rémunéré à 100%  e Mutuelle e Heures supplémentaires e Prime téléphone, Paniers repas, Prime d’assiduité  Veuillez contacter :  06.31.53.84.87  Laisser un mail:  taxiassistanceservice@gmail.com"
122155219430991116.jpg,122155219430991116,,,POSEUR LIVREUR (H/F)  Permis C avec FIMO + CACES R490 WV  St-Honoré-les-Bains  03.73.93.90.92
1879819683390614.jpg,1879819683390614,,,We en service en salle  POSTE DISPONIBLE _ wee (ar  Ss ! Ed CDD 35H SAISON SAISONNIER PAR SEMAINE ETE 2026  6 PI. Saint-Sébastien | 0386613200 58000 Nevers ou 0686762379
3398226700339641.jpg,3398226700339641,gateaustablesa@gmail.com,gateaustablesa@gmail.com,"I GATEAU SALEA  Dans son cadre bucolique de 26 hectares, l'écurie de CSO des Gateau Stables, médaillée d'or et d'argent aux championnats d'Europe Juniors et Poneys, propose pendant toutes les vacances scolaires et en juin des stages linguistiques ANGLAIS / PONEY. Ici, c'est l'Irlande comme si vous y étiez, à 2 heures de Paris, au cœur de la verte Puisaye ! Rythmée par l'apprentissage et le perfectionnement intensif de l'anglais, la formation à poney et la compétition, en petits groupes de 6 maxi"
1519281216644096.jpg,1519281216644096,,,"PIZZA UP seas  + UNAPPRENTI À APPRENTI  2  LE SEUL CRITERE : SINON, AVOIR UN MINIMUM SEMAINE TEST D'EXPÉRIENCE POUR ÉVALUER \__ ENRESTAURATION TAMOTIVATION!  REJOINS UNE & REJOINS UNE ÉQUIPE PASSIONNÉE! À PASSIONNÉE ! & REJOINS UNE ÉQUIPE PASSIONNÉE! À  ©': 0386211212  Répondr... ¢f§ 9 ©  »"
1767258777774546.jpg,1767258777774546,,,Wy-sovitrat  Apporte ton cv!  MACON AIDE MACON  Démarrage de la mission dés mardi 16 Juin  Titulaire du permis B ©  Secteur Nevers  18 Rue du petit Mouesse 58000 Nevers 03 86 61 33 36
4275530099365218.jpg,4275530099365218,,,"® RECHERCHE : AIDE À DOMICILE  / AUXILIAIRE DE VIE  Le Service d'Aide à Domicile (SAAD) de Saint- Saulge recherche une personne sérieuse et motivée pour rejoindre notre équipe.  Afin d'aider les bénéficiaires à réaliser :  + Aides humaines (aide à la toilette, change)  e Aides aux repas (confection et accompagnement) e Aides aux sorties (courses, RDV médicaux)  ¢ Actes de vie quotidienne (ménage)  Contactez-nous :  <. Téléphone : 03 86 58 20 44 ‘ Email : secretariat-saad58@groupe-sos.org |  Fait"
1119046733907247.jpg,1119046733907247,,,"\ Sauvegarde 58  L'engagement au semis des dilérences  Le 27/04/2026  ANNONCE - POSTE A POURVOIR  Association départementale riche de 600 professionnels répartis sur 30 établissements et services, et œuvrant à l'accompagnement de 2500 personnes en situation de vulnérabilité sur le territoire Nivernais, la SAUVEGARDE 58  Recrute pour  LE DISPOSITIF ADULTE HANDICAP - FOYER LES EDUENS 1 Chef de cuisine (H/F) - CDI 1 ETP  Dans un foyer de vie accueillant 33 adultes en situation de handicap mental, v"
912593371794944.jpg,912593371794944,celineauxpetitsoins@gmail.com,celineauxpetitsoins@gmail.com,"Pour assurer la continuité auprès de nos bénéficiaires, nous recrutons  UN(E) AUXILIAIRE DE VIE = d dynamique: eo  pour remplacement d’été  CD ES 104 h / mois i Q Aide à la toilette, habillage  Travail fo Aide a la préparation de repas  | week-end Senn  | sur deux bo Accompagnement au repas © Horaires © Aide au coucher  8h00 - 13h45 ii ve . et 17h00-20h0O0 | : & Petit ménage d’entretien  > Ce que nous proposons : £ v  Ensemble, © © © :: : ! de ceux qui  Une équipe Î Une ambiance | Du respect, !"
1686906146768275.jpg,1686906146768275,,,EQUIPE ESPERANCE
1686906140101609.jpg,1686906140101609,,,
1686906053434951.jpg,1686906053434951,,,
1686906033434953.jpg,1686906033434953,,,
10163823909289718.jpg,10163823909289718,,,HÔTEL & RESTAURANT | LE COQ HARDI 7 RECHERCHE CUISINIER(ÈRE) à À POUILLY-SUR-LOIRE Tél. 03 86 39 12 99  Email : contact@lecoqhardi.fr
1451207180092280.jpg,1451207180092280,,,SAINT-FARGEAU (89170)  PRISE DE POSTE :  = CONTRAT : =f me) ENVOYEZ VOTRE CV À :
27445258545067634.jpg,27445258545067634,celineauxpetitsoins@gmail.com,celineauxpetitsoins@gmail.com,"Pour assurer la continuité auprès de nos bénéficiaires, nous recrutons  UN(E) AUXILIAIRE DE VIE oh dynamique:  pour remplacement d'été  ete es. 104 h/ mois Q Aide à la toilette, habillage  | ÉD Aide à la préparation d | A Travail 7 yg Aide à la préparation de repas  1 week-end sur deux 4 Accompagnement au repas Horaires Ce ii © Aide au coucher CY) 8h00 - 13h45 : ve me et 17h00 - 20h00 | : & Petit ménage d’entretien Î  > Ce que nous proposons : £ v  : Ensemble, © © © & : de ceux qui  Une équipe Î"
122170043702715369.jpg,122170043702715369,,,
122308972106067710.jpg,122308972106067710,,,age! LPrniore  RECRUTE  RESPONSABLE COMMERCIAL (H/F)  ae  Ted
122162079656898692.jpg,122162079656898692,,,Offre : Job étudiant  CDD étudiants Formation interne rémunérée Nevers
873123182498304.jpg,873123182498304,,,NOUS sel  L  F AGENT DE PRODUCTION H/F Enr cape  ‘ 8) <* Q SECTEUR LA QUERCHE-SUR-L'AUBOIS (1 p= ee zs VOTRE SAVOIR-FAIRE a | ; h  L'INDUSTRIE AND ORS DE DEMAIN! “à +) |  MÉCANIQUE Réaliser des opérations | INDUSTRIELLE  de fabrication et d'assemblage mécanique  Contrôler la qualité des pièces produites  Travailler en équipe dans un environnement industriel  performant . SECURITE ENTREPRISE EVOLUTIONS ET QUALITÉ AMBIANCE _ INDUSTRIELLE ET FORMATIONS AU COEUR DE DE TRAVAIL A TAILLE HUMAINE CONVIV
1341831321372237.jpg,1341831321372237,,,At RECHERCHE D D  SARL DE OLIVEIRA DIAS  ” INDÉPENDANT (MICRO-ENTREPRISE) À  MACON EXPERIMENTE EN MICRO-ENTREPRISE  EXPERIENCE CONFIRMEE EN MACONNERIE GENERALE  eS TRAVAIL SOIGNE ET ; SENS DES RESPONSABILITES  PERMIS B  n LES z= m i Ps > S$ = = = S = m  NOUS PROPOSONS :  [A MISSIONS RÉGULIÈRES ET VARIÉES [Vj COLLABORATION SUR LE LONG TERME POSSIBLE  [M ENVIRONNEMENT DE TRAVAIL SÉRIEUX ET CONVIVIAL  DE OLIVEIRA DIAS | @ 06 28 36 3140  ETAIS-LA-SAUVIN (89480)  fi À PROXIMITÉ IMMÉDIATE  DE L'ENTREP
1341831144705588.jpg,1341831144705588,,,At RECHERCHE D D  SARL DE OLIVEIRA DIAS  ” INDÉPENDANT (MICRO-ENTREPRISE) À  MACON EXPERIMENTE EN MICRO-ENTREPRISE  EXPERIENCE CONFIRMEE EN MACONNERIE GENERALE  eS TRAVAIL SOIGNE ET ; SENS DES RESPONSABILITES  PERMIS B  n LES z= m i Ps > S$ = = = S = m  NOUS PROPOSONS :  [A MISSIONS RÉGULIÈRES ET VARIÉES [Vj COLLABORATION SUR LE LONG TERME POSSIBLE  [M ENVIRONNEMENT DE TRAVAIL SÉRIEUX ET CONVIVIAL  DE OLIVEIRA DIAS | @ 06 28 36 3140  ETAIS-LA-SAUVIN (89480)  fi À PROXIMITÉ IMMÉDIATE  DE L'ENTREP
